disastser_number,declaration_date,year,disaster_type,incident_type,state,place_name,valid_registrations,referrals,approved,approved_amount
1439,11/5/2002,2002,DR,Severe Storms,TX,Aransas County,547,469,408,"$1,544,582.27 "
1439,11/5/2002,2002,DR,Severe Storms,TX,Brazoria County,132,106,76,"$277,904.75 "
1439,11/5/2002,2002,DR,Severe Storms,TX,Cameron County,626,523,469,"$1,320,679.44 "
1439,11/5/2002,2002,DR,Severe Storms,TX,Fort Bend County,82,70,48,"$170,743.37 "
1439,11/5/2002,2002,DR,Severe Storms,TX,Hardin County,359,313,241,"$547,459.52 "
1439,11/5/2002,2002,DR,Severe Storms,TX,Harris County,"3,486","3,027","2,263","$12,267,375.13 "
1439,11/5/2002,2002,DR,Severe Storms,TX,Hidalgo County,"8,063","6,571","5,641","$12,065,060.25 "
1439,11/5/2002,2002,DR,Severe Storms,TX,Jasper County,331,294,200,"$288,518.74 "
1439,11/5/2002,2002,DR,Severe Storms,TX,Jefferson County,"4,426","3,771","2,757","$8,057,157.80 "
1439,11/5/2002,2002,DR,Severe Storms,TX,Jim Wells County,333,296,232,"$619,064.72 "
1439,11/5/2002,2002,DR,Severe Storms,TX,Kleberg County,172,124,114,"$311,238.58 "
1439,11/5/2002,2002,DR,Severe Storms,TX,Liberty County,273,247,215,"$814,958.88 "
1439,11/5/2002,2002,DR,Severe Storms,TX,Montgomery County,282,250,217,"$1,100,586.49 "
1439,11/5/2002,2002,DR,Severe Storms,TX,Nueces County,"8,392","6,907","4,789","$11,290,671.51 "
1439,11/5/2002,2002,DR,Severe Storms,TX,Orange County,480,437,346,"$1,146,318.48 "
1439,11/5/2002,2002,DR,Severe Storms,TX,San Jacinto County,522,488,392,"$1,473,634.54 "
1439,11/5/2002,2002,DR,Severe Storms,TX,San Patricio County,"1,795","1,558","1,272","$4,190,020.66 "
1439,11/5/2002,2002,DR,Severe Storms,TX,Walker County,214,185,147,"$488,766.97 "
1440,11/8/2002,2002,DR,Earthquake,AK,Denali Borough,327,305,235,"$432,810.51 "
1440,11/8/2002,2002,DR,Earthquake,AK,Fairbanks North Star Borough,74,64,37,"$37,561.21 "
1441,11/13/2002,2002,DR,Severe Storms,TN,Anderson County,131,92,53,"$219,949.58 "
1441,11/13/2002,2002,DR,Severe Storms,TN,Bedford County,33,12,2,$521.39 
1441,11/13/2002,2002,DR,Severe Storms,TN,Bledsoe County,16,6,4,"$13,784.10 "
1441,11/13/2002,2002,DR,Severe Storms,TN,Carroll County,35,21,13,"$48,489.51 "
1441,11/13/2002,2002,DR,Severe Storms,TN,Coffee County,89,52,28,"$177,989.80 "
1441,11/13/2002,2002,DR,Severe Storms,TN,Crockett County,53,29,10,"$36,010.49 "
1441,11/13/2002,2002,DR,Severe Storms,TN,Cumberland County,231,128,53,"$232,293.36 "
1441,11/13/2002,2002,DR,Severe Storms,TN,Fentress County,14,6,0,
1441,11/13/2002,2002,DR,Severe Storms,TN,Gibson County,22,12,3,"$2,178.12 "
1441,11/13/2002,2002,DR,Severe Storms,TN,Henderson County,6,4,4,"$12,601.53 "
1441,11/13/2002,2002,DR,Severe Storms,TN,Madison County,180,72,33,"$35,924.74 "
1441,11/13/2002,2002,DR,Severe Storms,TN,Marshall County,69,26,3,"$3,054.63 "
1441,11/13/2002,2002,DR,Severe Storms,TN,Montgomery County,26,11,5,"$3,135.70 "
1441,11/13/2002,2002,DR,Severe Storms,TN,Morgan County,202,131,83,"$392,900.10 "
1441,11/13/2002,2002,DR,Severe Storms,TN,Roane County,42,25,14,"$67,964.57 "
1441,11/13/2002,2002,DR,Severe Storms,TN,Rutherford County,35,9,4,"$2,148.33 "
1441,11/13/2002,2002,DR,Severe Storms,TN,Scott County,50,36,15,"$61,175.97 "
1441,11/13/2002,2002,DR,Severe Storms,TN,Sumner County,18,9,5,"$7,756.78 "
1441,11/13/2002,2002,DR,Severe Storms,TN,Tipton County,177,117,78,"$536,674.24 "
1441,11/13/2002,2002,DR,Severe Storms,TN,Van Buren County,8,5,2,"$25,908.26 "
1442,11/14/2002,2002,DR,Severe Storms,AL,Barbour County,8,6,3,"$1,555.59 "
1442,11/14/2002,2002,DR,Severe Storms,AL,Blount County,6,2,1,"$1,548.31 "
1442,11/14/2002,2002,DR,Severe Storms,AL,Calhoun County,10,7,3,"$12,035.32 "
1442,11/14/2002,2002,DR,Severe Storms,AL,Cherokee County,127,96,68,"$483,619.35 "
1442,11/14/2002,2002,DR,Severe Storms,AL,Cullman County,142,81,50,"$239,700.41 "
